SKU,Product Name,Store Description,Price (CAD),Base Price (CAD),Surcharge Price (CAD),Line/Category,Availability,Product URL,Price Type,Updated UTC
UACC-Rack-12U-Wall-600-G,"12U Rack Cabinet, 600 mm, Glass Door","Fully assembled wall-mount rack with built-in fans and removable panels, engineered for easy equipment access and space-efficient small-scale deployments.",429.00,429.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-12u-wall-600-g,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-12U-Wall-600-P,"12U Rack Cabinet, 600 mm, Perforated Door","Fully assembled wall-mount rack with built-in fans and removable panels, engineered for easy equipment access and space-efficient small-scale deployments.",429.00,429.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-12u-wall-600-p,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-12U-Wall-SW-G,"12U Rack Cabinet, Swing, Glass Door","Fully assembled wall-mount rack with built-in fans and removable panels, engineered for easy equipment access and space-efficient small-scale deployments.",570.00,570.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-12u-wall-sw-g,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-12U-Wall-SW-P,"12U Rack Cabinet, Swing, Perforated Door","Fully assembled wall-mount rack with built-in fans and removable panels, engineered for easy equipment access and space-efficient small-scale deployments.",570.00,570.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-12u-wall-sw-p,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SM-1G-S-2,1G Bidirectional Single-Mode Optical Module,SFP transceiver that supports 1G connections up to 3 km using single-mode fiber with a simplex LC UPC connector.,30.00,30.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/1-gbps-bidirectional-single-mode-optical-module,Exact,2026-08-21T06:26:29+00:00
UACC-OM-SM-1G-S-20,1G Bidirectional Single-Mode Optical Module,SFP transceiver that supports 1G connections up to 3 km using single-mode fiber with a simplex LC UPC connector.,255.00,255.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/1-gbps-bidirectional-single-mode-optical-module,Exact,2026-08-21T06:26:29+00:00
UACC-OM-MM-1G-D-2,1G Multi-Mode Optical Module,SFP transceiver that supports 1G connections up to 550 m using multi-mode fiber with a duplex LC UPC connector.,23.00,23.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/1-gbps-multi-mode-optical-module,Exact,2026-08-21T06:26:29+00:00
UACC-OM-MM-1G-D-20,1G Multi-Mode Optical Module,SFP transceiver that supports 1G connections up to 550 m using multi-mode fiber with a duplex LC UPC connector.,215.00,215.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/1-gbps-multi-mode-optical-module,Exact,2026-08-21T06:26:29+00:00
UACC-Rack-Panel-Patch-Blank-24,24-Port Blank Keystone Patch Panel,"Standalone insert that can be easily installed into an existing network equipment rack to create a clean, uniform aesthetic.",40.00,40.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-rack-panel-patch-blank-24,Exact,2026-08-21T06:26:29+00:00
UACC-DAC-SFP28-0.5M,25G Direct Attach Cable,SFP28 direct attach cable available with a 25 Gbps max data rate.,31.00,31.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/25gbps-direct-attach-cable,Exact,2026-08-21T06:26:29+00:00
